PID	Sample_run	chr	LTR	provirus_orientation	bp_pseudo3LTR
2669	2669_PBMC	chr11	5LTR	-	649443
2669	2669_LNMC	chr11	5LTR	+	1782623
2669	2669_PBMC	chr11	5LTR	+	1782623
2669	2669_LNMC	chr11	5LTR	-	3008202
2669	2669_LNMC	chr11	3LTR	+	3910667
2669	2669_LNMC	chr11	5LTR	-	3993973
2669	2669_LNMC	chr11	3LTR	-	3993973
2669	2669_PBMC	chr11	5LTR	-	43432565
2669	2669_LNMC	chr11	3LTR	-	44183056
2669	2669_LNMC	chr11	5LTR	-	61081370
2669	2669_LNMC	chr11	3LTR	+	65151744
2669	2669_PBMC	chr11	5LTR	-	65205398
2669	2669_PBMC	chr11	5LTR	-	65349415
2669	2669_LNMC	chr11	3LTR	+	65622915
2669	2669_LNMC	chr11	3LTR	-	65852534
2669	2669_LNMC	chr11	5LTR	-	65857897
2669	2669_LNMC	chr11	3LTR	-	66533730
2669	2669_LNMC	chr11	3LTR	-	66550545
2669	2669_LNMC	chr11	5LTR	+	66910451
2669	2669_LNMC	chr11	5LTR	+	66910451
2669	2669_LNMC	chr11	5LTR	+	66910451
2669	2669_LNMC	chr11	3LTR	+	66923949
2669	2669_LNMC	chr11	5LTR	+	66941369
2669	2669_LNMC	chr11	3LTR	-	68249025
2669	2669_LNMC	chr11	3LTR	+	71776041
2669	2669_LNMC	chr11	3LTR	+	71776041
2669	2669_PBMC	chr11	5LTR	+	71776041
2669	2669_LNMC	chr11	3LTR	+	71776041
2669	2669_LNMC	chr11	5LTR	-	72024243
2669	2669_LNMC	chr11	3LTR	-	72798123
2669	2669_LNMC	chr11	5LTR	-	73863828
2669	2669_LNMC	chr11	5LTR	+	74966620
2669	2669_PBMC	chr11	3LTR	+	75632092
2669	2669_PBMC	chr11	3LTR	-	86075343
2669	2669_LNMC	chr11	3LTR	+	92137070
2669	2669_LNMC	chr11	5LTR	-	94155094
2669	2669_PBMC	chr11	3LTR	-	111611869
2669	2669_LNMC	chr11	3LTR	-	116750180
2669	2669_LNMC	chr11	3LTR	+	116966530
2669	2669_PBMC	chr11	3LTR	+	117140501
2669	2669_LNMC	chr11	3LTR	-	119100757
2669	2669_LNMC	chr11	3LTR	-	120307729
2669	2669_LNMC	chr11	3LTR	-	128450912
2669	2669_LNMC	chr12	5LTR	-	455670
2669	2669_PBMC	chr12	3LTR	+	1135158
2669	2669_LNMC	chr12	3LTR	+	1854215
2669	2669_LNMC	chr12	3LTR	-	6550596
2669	2669_PBMC	chr12	5LTR	+	9183521
2669	2669_LNMC	chr12	5LTR	-	9815980
2669	2669_LNMC	chr12	5LTR	-	9815980
2669	2669_LNMC	chr12	5LTR	-	9815980
2669	2669_LNMC	chr12	5LTR	-	9815980
2669	2669_PBMC	chr12	3LTR	-	9815980
2669	2669_PBMC	chr12	3LTR	-	9815980
2669	2669_PBMC	chr12	3LTR	-	9815980
2669	2669_PBMC	chr12	3LTR	-	11313926
2669	2669_LNMC	chr12	5LTR	+	12704372
2669	2669_LNMC	chr12	5LTR	-	14815344
2669	2669_LNMC	chr12	5LTR	-	25334064
2669	2669_LNMC	chr12	5LTR	+	32020255
2669	2669_LNMC	chr12	3LTR	-	46220648
2669	2669_PBMC	chr12	5LTR	+	49092373
2669	2669_LNMC	chr12	3LTR	-	50069823
2669	2669_PBMC	chr12	3LTR	-	51211579
2669	2669_LNMC	chr12	5LTR	+	51400444
2669	2669_PBMC	chr12	5LTR	-	51565184
2669	2669_PBMC	chr12	5LTR	-	51565184
2669	2669_PBMC	chr12	5LTR	-	51565184
2669	2669_PBMC	chr12	5LTR	-	51565184
2669	2669_PBMC	chr12	5LTR	-	51565184
2669	2669_LNMC	chr12	3LTR	-	51565184
2669	2669_LNMC	chr12	3LTR	+	51712101
2669	2669_LNMC	chr12	5LTR	-	56169530
2669	2669_LNMC	chr12	3LTR	+	56317461
2669	2669_LNMC	chr12	5LTR	+	56317461
2669	2669_LNMC	chr12	3LTR	+	56328662
2669	2669_PBMC	chr12	5LTR	-	57891154
2669	2669_PBMC	chr12	5LTR	-	57891154
2669	2669_PBMC	chr12	5LTR	-	57891154
2669	2669_LNMC	chr12	5LTR	-	62865189
2669	2669_LNMC	chr12	5LTR	+	70612964
2669	2669_LNMC	chr12	3LTR	+	77418992
2669	2669_PBMC	chr12	3LTR	+	94692290
2669	2669_PBMC	chr12	3LTR	-	95648793
2669	2669_LNMC	chr12	5LTR	+	96608243
2669	2669_LNMC	chr12	5LTR	-	111933459
2669	2669_LNMC	chr12	3LTR	+	114245311
2669	2669_LNMC	chr12	5LTR	-	121055428
2669	2669_LNMC	chr12	5LTR	+	123722415
2669	2669_LNMC	chr12	3LTR	-	123954256
2669	2669_LNMC	chr13	5LTR	+	20321296
2669	2669_LNMC	chr13	3LTR	+	24196032
2669	2669_LNMC	chr13	3LTR	-	31200678
2669	2669_LNMC	chr13	3LTR	-	31200679
2669	2669_PBMC	chr13	3LTR	-	31217015
2669	2669_PBMC	chr13	5LTR	-	33108981
2669	2669_PBMC	chr13	3LTR	-	42803186
2669	2669_LNMC	chr13	3LTR	+	42806296
2669	2669_LNMC	chr13	5LTR	-	47301663
2669	2669_LNMC	chr13	5LTR	-	49710501
2669	2669_LNMC	chr13	5LTR	-	50885727
2669	2669_LNMC	chr13	3LTR	-	73429148
2669	2669_LNMC	chr13	3LTR	-	73429148
2669	2669_LNMC	chr13	3LTR	-	73429148
2669	2669_LNMC	chr13	3LTR	-	73429148
2669	2669_LNMC	chr13	3LTR	-	73429148
2669	2669_LNMC	chr13	3LTR	-	73429148
2669	2669_LNMC	chr13	3LTR	-	73429148
2669	2669_LNMC	chr13	3LTR	-	73429148
2669	2669_LNMC	chr13	3LTR	+	77691449
2669	2669_LNMC	chr13	5LTR	+	77804085
2669	2669_LNMC	chr13	5LTR	-	99948173
2669	2669_LNMC	chr13	3LTR	-	99948173
2669	2669_LNMC	chr13	3LTR	+	99979320
2669	2669_LNMC	chr13	3LTR	-	107567354
2669	2669_LNMC	chr13	3LTR	-	114859760
2669	2669_LNMC	chr13	5LTR	-	115055929
2669	2669_LNMC	chr14	5LTR	+	23053710
2669	2669_LNMC	chr14	3LTR	-	50256734
2669	2669_LNMC	chr14	3LTR	-	50298910
2669	2669_PBMC	chr14	5LTR	-	54314186
2669	2669_PBMC	chr14	3LTR	-	61839318
2669	2669_PBMC	chr14	5LTR	+	68684910
2669	2669_LNMC	chr14	3LTR	-	68836202
2669	2669_LNMC	chr14	3LTR	+	71391931
2669	2669_LNMC	chr14	3LTR	+	72027926
2669	2669_LNMC	chr14	3LTR	+	73863909
2669	2669_LNMC	chr14	5LTR	+	73863909
2669	2669_LNMC	chr14	5LTR	+	92268743
2669	2669_PBMC	chr14	3LTR	-	93014279
2669	2669_LNMC	chr14	3LTR	-	95583702
2669	2669_LNMC	chr14	5LTR	-	102433791
2669	2669_LNMC	chr14	3LTR	+	103356930
2669	2669_LNMC	chr14	5LTR	+	103356930
2669	2669_LNMC	chr15	5LTR	+	32200504
2669	2669_PBMC	chr15	5LTR	+	38340286
2669	2669_PBMC	chr15	5LTR	+	38340286
2669	2669_PBMC	chr15	5LTR	+	38340286
2669	2669_PBMC	chr15	5LTR	+	38340286
2669	2669_PBMC	chr15	5LTR	+	38340286
2669	2669_LNMC	chr15	5LTR	-	40320186
2669	2669_LNMC	chr15	5LTR	-	40513658
2669	2669_LNMC	chr15	5LTR	+	41354336
2669	2669_PBMC	chr15	3LTR	-	41669475
2669	2669_LNMC	chr15	5LTR	+	50492063
2669	2669_PBMC	chr15	3LTR	-	50862617
2669	2669_LNMC	chr15	5LTR	-	58955260
2669	2669_LNMC	chr15	5LTR	+	63510676
2669	2669_PBMC	chr15	3LTR	-	64399917
2669	2669_PBMC	chr15	3LTR	+	75142549
2669	2669_PBMC	chr15	3LTR	+	75142549
2669	2669_PBMC	chr15	3LTR	+	75142549
2669	2669_PBMC	chr15	3LTR	+	75142549
2669	2669_PBMC	chr15	3LTR	+	75142549
2669	2669_LNMC	chr15	5LTR	+	75739879
2669	2669_LNMC	chr15	5LTR	-	77737483
2669	2669_LNMC	chr15	5LTR	-	80387851
2669	2669_LNMC	chr15	5LTR	+	90637480
2669	2669_LNMC	chr15	5LTR	+	91317332
2669	2669_LNMC	chr16	3LTR	-	3893349
2669	2669_LNMC	chr16	3LTR	-	11213815
2669	2669_PBMC	chr16	5LTR	+	11992271
2669	2669_LNMC	chr16	3LTR	+	13044718
2669	2669_PBMC	chr16	3LTR	-	14201636
2669	2669_LNMC	chr16	5LTR	-	15966095
2669	2669_LNMC	chr16	3LTR	-	15974246
2669	2669_LNMC	chr16	3LTR	-	15974246
2669	2669_PBMC	chr16	5LTR	-	15974246
2669	2669_PBMC	chr16	5LTR	-	15974246
2669	2669_PBMC	chr16	3LTR	-	15974246
2669	2669_PBMC	chr16	3LTR	-	18806767
2669	2669_PBMC	chr16	3LTR	-	18877318
2669	2669_LNMC	chr16	3LTR	+	18913295
2669	2669_LNMC	chr16	3LTR	+	19548319
2669	2669_LNMC	chr16	3LTR	+	19548319
2669	2669_PBMC	chr16	3LTR	+	19548319
2669	2669_PBMC	chr16	5LTR	+	19548319
2669	2669_LNMC	chr16	3LTR	+	23096255
2669	2669_LNMC	chr16	5LTR	+	23096255
2669	2669_LNMC	chr16	3LTR	-	23906402
2669	2669_LNMC	chr16	5LTR	+	23968167
2669	2669_LNMC	chr16	5LTR	-	24192006
2669	2669_LNMC	chr16	3LTR	+	24558169
2669	2669_LNMC	chr16	5LTR	-	28168075
2669	2669_LNMC	chr16	3LTR	-	28168075
2669	2669_LNMC	chr16	3LTR	-	28168075
2669	2669_LNMC	chr16	3LTR	-	28168075
2669	2669_PBMC	chr16	3LTR	-	28168075
2669	2669_LNMC	chr16	3LTR	+	28206672
2669	2669_LNMC	chr16	3LTR	+	28206672
2669	2669_LNMC	chr16	5LTR	+	28206672
2669	2669_LNMC	chr16	3LTR	+	29133816
2669	2669_LNMC	chr16	3LTR	-	29979444
2669	2669_LNMC	chr16	5LTR	+	30131198
2669	2669_PBMC	chr16	3LTR	-	30286709
2669	2669_PBMC	chr16	5LTR	+	30566294
2669	2669_LNMC	chr16	3LTR	-	31203741
2669	2669_PBMC	chr16	3LTR	+	46826400
2669	2669_LNMC	chr16	5LTR	+	50365511
2669	2669_LNMC	chr16	3LTR	-	50808890
2669	2669_PBMC	chr16	5LTR	+	53247521
2669	2669_LNMC	chr16	5LTR	-	53750026
2669	2669_LNMC	chr16	5LTR	+	66755489
2669	2669_PBMC	chr16	5LTR	+	67103577
2669	2669_LNMC	chr16	5LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68171424
2669	2669_PBMC	chr16	5LTR	-	68171424
2669	2669_PBMC	chr16	5LTR	-	68171424
2669	2669_PBMC	chr16	5LTR	-	68171424
2669	2669_PBMC	chr16	5LTR	-	68171424
2669	2669_PBMC	chr16	5LTR	-	68171424
2669	2669_PBMC	chr16	5LTR	-	68171424
2669	2669_PBMC	chr16	5LTR	-	68171424
2669	2669_PBMC	chr16	5LTR	-	68171424
2669	2669_PBMC	chr16	3LTR	-	68171424
2669	2669_PBMC	chr16	3LTR	-	68171424
2669	2669_PBMC	chr16	3LTR	-	68171424
2669	2669_PBMC	chr16	3LTR	-	68171424
2669	2669_PBMC	chr16	3LTR	-	68171424
2669	2669_PBMC	chr16	3LTR	-	68171424
2669	2669_PBMC	chr16	3LTR	-	68171424
2669	2669_PBMC	chr16	3LTR	-	68171424
2669	2669_PBMC	chr16	3LTR	-	68171424
2669	2669_PBMC	chr16	3LTR	-	68171424
2669	2669_PBMC	chr16	3LTR	-	68171424
2669	2669_LNMC	chr16	3LTR	-	68178623
2669	2669_LNMC	chr16	3LTR	-	68205033
2669	2669_PBMC	chr16	3LTR	-	71934558
2669	2669_PBMC	chr16	5LTR	-	80660957
2669	2669_LNMC	chr16	3LTR	+	80684552
2669	2669_LNMC	chr16	5LTR	+	80826642
2669	2669_LNMC	chr16	5LTR	-	89319616
2669	2669_PBMC	chr17	3LTR	+	2121849
2669	2669_LNMC	chr17	3LTR	-	3429036
2669	2669_LNMC	chr17	3LTR	-	3429036
2669	2669_PBMC	chr17	3LTR	-	6481398
2669	2669_PBMC	chr17	5LTR	+	7128721
2669	2669_LNMC	chr17	3LTR	-	7782320
2669	2669_LNMC	chr17	3LTR	-	8361195
2669	2669_LNMC	chr17	5LTR	+	10624515
2669	2669_LNMC	chr17	3LTR	+	14123807
2669	2669_LNMC	chr17	3LTR	+	16116463
2669	2669_LNMC	chr17	3LTR	-	16948879
2669	2669_LNMC	chr17	5LTR	-	25631042
2669	2669_LNMC	chr17	3LTR	-	25631046
2669	2669_LNMC	chr17	3LTR	-	26386557
2669	2669_PBMC	chr17	5LTR	-	27187480
2669	2669_PBMC	chr17	3LTR	-	27187480
2669	2669_LNMC	chr17	5LTR	+	27251341
2669	2669_LNMC	chr17	5LTR	-	27872798
2669	2669_PBMC	chr17	3LTR	+	29168749
2669	2669_LNMC	chr17	5LTR	-	29601112
2669	2669_LNMC	chr17	3LTR	+	30693458
2669	2669_LNMC	chr17	3LTR	+	30693458
2669	2669_LNMC	chr17	3LTR	+	30693458
2669	2669_LNMC	chr17	3LTR	+	30693458
2669	2669_LNMC	chr17	3LTR	+	30693458
2669	2669_LNMC	chr17	3LTR	+	30693458
2669	2669_LNMC	chr17	3LTR	+	30693458
2669	2669_LNMC	chr17	3LTR	+	30693458
2669	2669_LNMC	chr17	3LTR	+	30693458
2669	2669_PBMC	chr17	3LTR	+	30693458
2669	2669_PBMC	chr17	3LTR	+	30693458
2669	2669_PBMC	chr17	3LTR	+	30693458
2669	2669_PBMC	chr17	3LTR	+	30693458
2669	2669_PBMC	chr17	3LTR	+	30693458
2669	2669_PBMC	chr17	3LTR	+	30693459
2669	2669_PBMC	chr17	5LTR	+	30693462
2669	2669_PBMC	chr17	5LTR	+	30693462
2669	2669_PBMC	chr17	5LTR	+	30693462
2669	2669_LNMC	chr17	3LTR	-	34920939
2669	2669_LNMC	chr17	5LTR	+	35336591
2669	2669_PBMC	chr17	5LTR	+	35904056
2669	2669_LNMC	chr17	3LTR	-	38306276
2669	2669_LNMC	chr17	3LTR	+	38799911
2669	2669_LNMC	chr17	3LTR	+	38799912
2669	2669_LNMC	chr17	5LTR	-	38992151
2669	2669_LNMC	chr17	3LTR	-	38992151
2669	2669_LNMC	chr17	5LTR	-	40418687
2669	2669_LNMC	chr17	5LTR	-	40418687
2669	2669_LNMC	chr17	5LTR	-	40418687
2669	2669_LNMC	chr17	3LTR	-	40418687
2669	2669_LNMC	chr17	5LTR	-	40420445
2669	2669_PBMC	chr17	3LTR	-	40422691
2669	2669_LNMC	chr17	5LTR	-	40423526
2669	2669_LNMC	chr17	5LTR	-	41743717
2669	2669_PBMC	chr17	5LTR	-	44141513
2669	2669_LNMC	chr17	5LTR	+	44160692
2669	2669_LNMC	chr17	5LTR	+	45618494
2669	2669_LNMC	chr17	3LTR	-	47292351
2669	2669_LNMC	chr17	3LTR	+	47882247
2669	2669_LNMC	chr17	3LTR	+	48817535
2669	2669_LNMC	chr17	5LTR	-	54915586
2669	2669_LNMC	chr17	5LTR	+	54928036
2669	2669_LNMC	chr17	5LTR	-	57751885
2669	2669_PBMC	chr17	5LTR	-	57872459
2669	2669_LNMC	chr17	3LTR	-	57872459
2669	2669_LNMC	chr17	5LTR	-	61860221
2669	2669_LNMC	chr17	5LTR	+	62553656
2669	2669_PBMC	chr17	3LTR	-	73361588
2669	2669_PBMC	chr17	5LTR	-	73694576
2669	2669_PBMC	chr17	5LTR	-	73694609
2669	2669_LNMC	chr17	5LTR	+	73835449
2669	2669_LNMC	chr17	3LTR	+	74203798
2669	2669_LNMC	chr17	3LTR	+	75392799
2669	2669_LNMC	chr17	3LTR	+	75392799
2669	2669_PBMC	chr17	3LTR	-	75466560
2669	2669_PBMC	chr17	3LTR	-	75466560
2669	2669_PBMC	chr17	3LTR	-	75466560
2669	2669_PBMC	chr17	5LTR	+	76763341
2669	2669_LNMC	chr17	3LTR	+	78602728
2669	2669_LNMC	chr17	3LTR	+	78603498
2669	2669_LNMC	chr17	3LTR	-	78768162
2669	2669_LNMC	chr17	5LTR	-	79595611
2669	2669_LNMC	chr17	3LTR	+	79596811
2669	2669_PBMC	chr17	3LTR	+	80569658
2669	2669_LNMC	chr18	5LTR	+	777459
2669	2669_LNMC	chr18	5LTR	-	9578188
2669	2669_PBMC	chr18	5LTR	-	9578188
2669	2669_LNMC	chr18	3LTR	-	14615600
2669	2669_PBMC	chr18	3LTR	-	50013991
2669	2669_LNMC	chr18	5LTR	+	66371200
2669	2669_LNMC	chr18	5LTR	+	66371200
2669	2669_LNMC	chr18	5LTR	+	66371200
2669	2669_LNMC	chr18	5LTR	+	66371200
2669	2669_LNMC	chr18	5LTR	+	66371200
2669	2669_LNMC	chr18	5LTR	+	66371200
2669	2669_LNMC	chr18	5LTR	+	66371200
2669	2669_LNMC	chr18	5LTR	+	66371200
2669	2669_LNMC	chr18	5LTR	+	66371200
2669	2669_LNMC	chr19	5LTR	-	1033512
2669	2669_LNMC	chr19	5LTR	-	1033512
2669	2669_LNMC	chr19	5LTR	-	1033512
2669	2669_LNMC	chr19	5LTR	-	1033512
2669	2669_LNMC	chr19	5LTR	-	1033512
2669	2669_LNMC	chr19	5LTR	-	1033512
2669	2669_LNMC	chr19	5LTR	-	1033512
2669	2669_LNMC	chr19	5LTR	-	1033512
2669	2669_LNMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033512
2669	2669_PBMC	chr19	5LTR	-	1033513
2669	2669_LNMC	chr19	3LTR	+	1219875
2669	2669_LNMC	chr19	3LTR	-	1257645
2669	2669_LNMC	chr19	3LTR	-	1257645
2669	2669_LNMC	chr19	3LTR	-	1257645
2669	2669_LNMC	chr19	3LTR	-	1257645
2669	2669_LNMC	chr19	5LTR	+	2146644
2669	2669_LNMC	chr19	5LTR	+	2146644
2669	2669_LNMC	chr19	5LTR	-	2176105
2669	2669_LNMC	chr19	3LTR	+	2940353
2669	2669_LNMC	chr19	5LTR	+	4393603
2669	2669_LNMC	chr19	3LTR	-	5640271
2669	2669_LNMC	chr19	3LTR	-	6757316
2669	2669_LNMC	chr19	5LTR	-	6837488
2669	2669_LNMC	chr19	5LTR	-	7211627
2669	2669_LNMC	chr19	5LTR	-	9269354
2669	2669_PBMC	chr19	3LTR	-	9981252
2669	2669_LNMC	chr19	3LTR	-	10078067
2669	2669_LNMC	chr19	5LTR	-	10587739
2669	2669_LNMC	chr19	3LTR	-	10776137
2669	2669_PBMC	chr19	5LTR	+	10836116
2669	2669_LNMC	chr19	5LTR	+	11209495
2669	2669_LNMC	chr19	5LTR	-	12520822
2669	2669_PBMC	chr19	3LTR	-	12695934
2669	2669_PBMC	chr19	3LTR	+	12717384
2669	2669_LNMC	chr19	3LTR	+	12837609
2669	2669_PBMC	chr19	3LTR	-	15429068
2669	2669_LNMC	chr19	3LTR	-	17249729
2669	2669_PBMC	chr19	5LTR	+	17962807
2669	2669_LNMC	chr19	5LTR	-	18193265
2669	2669_LNMC	chr19	3LTR	-	18193265
2669	2669_LNMC	chr19	3LTR	+	20128437
2669	2669_PBMC	chr19	5LTR	-	30443787
2669	2669_LNMC	chr19	3LTR	-	30501947
2669	2669_LNMC	chr19	3LTR	-	30518847
2669	2669_LNMC	chr19	5LTR	-	32868592
2669	2669_PBMC	chr19	3LTR	-	34702511
2669	2669_PBMC	chr19	3LTR	-	35496704
2669	2669_LNMC	chr19	3LTR	+	36271655
2669	2669_LNMC	chr19	3LTR	+	36271655
2669	2669_LNMC	chr19	3LTR	+	36271655
2669	2669_LNMC	chr19	3LTR	-	36586063
2669	2669_LNMC	chr19	5LTR	-	36586958
2669	2669_LNMC	chr19	3LTR	-	37063627
2669	2669_LNMC	chr19	3LTR	-	37155019
2669	2669_PBMC	chr19	5LTR	+	37361741
2669	2669_LNMC	chr19	3LTR	+	39819412
2669	2669_LNMC	chr19	3LTR	-	39974432
2669	2669_LNMC	chr19	3LTR	-	39974433
2669	2669_PBMC	chr19	3LTR	+	40229187
2669	2669_LNMC	chr19	5LTR	-	40595281
2669	2669_LNMC	chr19	3LTR	-	40595281
2669	2669_PBMC	chr19	5LTR	+	44074194
2669	2669_LNMC	chr19	3LTR	+	46062527
2669	2669_LNMC	chr19	3LTR	+	46349023
2669	2669_LNMC	chr19	3LTR	+	46378391
2669	2669_LNMC	chr19	3LTR	-	47488190
2669	2669_LNMC	chr19	3LTR	+	47826640
2669	2669_PBMC	chr19	3LTR	-	48653504
2669	2669_LNMC	chr19	3LTR	-	50326648
2669	2669_LNMC	chr19	5LTR	+	55774926
2669	2669_LNMC	chr19	3LTR	+	56112885
2669	2669_PBMC	chr19	5LTR	-	56120154
2669	2669_PBMC	chr19	3LTR	-	56120154
2669	2669_LNMC	chr19	3LTR	+	58321293
2669	2669_LNMC	chr2	5LTR	-	24045616
2669	2669_LNMC	chr2	3LTR	+	24973069
2669	2669_PBMC	chr2	3LTR	-	26348910
2669	2669_PBMC	chr2	5LTR	-	29075937
2669	2669_LNMC	chr2	5LTR	+	37872172
2669	2669_LNMC	chr2	5LTR	-	61483415
2669	2669_LNMC	chr2	3LTR	+	62165040
2669	2669_LNMC	chr2	5LTR	-	68428441
2669	2669_LNMC	chr2	3LTR	-	68986025
2669	2669_LNMC	chr2	3LTR	-	68986025
2669	2669_LNMC	chr2	3LTR	-	68986025
2669	2669_LNMC	chr2	3LTR	-	68986025
2669	2669_LNMC	chr2	3LTR	-	68986025
2669	2669_LNMC	chr2	3LTR	-	76461532
2669	2669_LNMC	chr2	3LTR	-	77096184
2669	2669_PBMC	chr2	5LTR	+	86298572
2669	2669_LNMC	chr2	3LTR	+	86745248
2669	2669_PBMC	chr2	5LTR	+	97832736
2669	2669_LNMC	chr2	3LTR	-	105962073
2669	2669_PBMC	chr2	5LTR	-	113069736
2669	2669_LNMC	chr2	5LTR	+	120173949
2669	2669_PBMC	chr2	3LTR	-	135903472
2669	2669_LNMC	chr2	5LTR	-	136729736
2669	2669_LNMC	chr2	5LTR	-	175184444
2669	2669_LNMC	chr2	5LTR	-	206918947
2669	2669_LNMC	chr2	3LTR	+	225376460
2669	2669_LNMC	chr2	3LTR	+	225376460
2669	2669_LNMC	chr2	3LTR	+	225376460
2669	2669_LNMC	chr2	5LTR	+	225376460
2669	2669_PBMC	chr2	3LTR	+	225376460
2669	2669_LNMC	chr2	3LTR	-	225444961
2669	2669_LNMC	chr2	3LTR	-	231290903
2669	2669_PBMC	chr2	3LTR	-	242112682
2669	2669_PBMC	chr2	5LTR	-	242282186
2669	2669_PBMC	chr20	3LTR	-	2439368
2669	2669_PBMC	chr20	3LTR	-	4659864
2669	2669_LNMC	chr20	5LTR	-	4971098
2669	2669_PBMC	chr20	3LTR	+	5539725
2669	2669_LNMC	chr20	5LTR	+	29808176
2669	2669_LNMC	chr20	3LTR	+	30386910
2669	2669_LNMC	chr20	3LTR	+	30386910
2669	2669_LNMC	chr20	3LTR	+	30386910
2669	2669_LNMC	chr20	3LTR	+	30386910
2669	2669_LNMC	chr20	3LTR	+	30386910
2669	2669_LNMC	chr20	3LTR	+	30386910
2669	2669_LNMC	chr20	3LTR	+	30386910
2669	2669_LNMC	chr20	3LTR	+	30386910
2669	2669_PBMC	chr20	3LTR	+	30386910
2669	2669_PBMC	chr20	3LTR	+	30386910
2669	2669_PBMC	chr20	3LTR	+	30386910
2669	2669_LNMC	chr20	3LTR	-	30560146
2669	2669_LNMC	chr20	3LTR	+	32641004
2669	2669_PBMC	chr20	5LTR	-	32655197
2669	2669_LNMC	chr20	3LTR	+	33371835
2669	2669_LNMC	chr20	5LTR	+	33380433
2669	2669_LNMC	chr20	3LTR	-	34446434
2669	2669_PBMC	chr20	3LTR	-	39736690
2669	2669_PBMC	chr20	3LTR	-	44491720
2669	2669_LNMC	chr20	3LTR	-	54954909
2669	2669_LNMC	chr20	5LTR	-	61482105
2669	2669_LNMC	chr21	3LTR	+	15983642
2669	2669_PBMC	chr21	5LTR	+	33830180
2669	2669_LNMC	chr21	3LTR	+	34588857
2669	2669_LNMC	chr21	3LTR	+	34588857
2669	2669_LNMC	chr21	3LTR	+	34588857
2669	2669_LNMC	chr21	3LTR	-	35283631
2669	2669_LNMC	chr21	5LTR	+	42875239
2669	2669_LNMC	chr21	5LTR	+	46349310
2669	2669_LNMC	chr21	5LTR	+	46349310
2669	2669_LNMC	chr21	5LTR	+	46349310
2669	2669_LNMC	chr21	5LTR	+	46349310
2669	2669_PBMC	chr21	3LTR	+	47577371
2669	2669_LNMC	chr22	3LTR	+	30298244
2669	2669_PBMC	chr22	5LTR	-	30369528
2669	2669_LNMC	chr22	5LTR	-	30556380
2669	2669_LNMC	chr22	5LTR	-	37547610
2669	2669_LNMC	chr22	5LTR	-	37548083
2669	2669_LNMC	chr22	5LTR	-	37548574
2669	2669_PBMC	chr22	3LTR	+	38915405
2669	2669_PBMC	chr22	5LTR	+	38915405
2669	2669_LNMC	chr22	3LTR	+	38927084
2669	2669_PBMC	chr22	5LTR	+	40600205
2669	2669_PBMC	chr22	5LTR	-	40826133
2669	2669_PBMC	chr22	5LTR	-	40826133
2669	2669_PBMC	chr22	5LTR	-	40826133
2669	2669_LNMC	chr22	5LTR	-	40863472
2669	2669_LNMC	chr22	5LTR	+	41012654
2669	2669_PBMC	chr22	3LTR	+	41181603
2669	2669_LNMC	chr22	3LTR	-	41513793
2669	2669_LNMC	chr22	5LTR	-	41554885
2669	2669_LNMC	chr22	3LTR	+	43387806
2669	2669_LNMC	chr22	3LTR	-	51027260
2669	2669_LNMC	chr3	5LTR	+	8975048
2669	2669_LNMC	chr3	5LTR	-	12304020
2669	2669_PBMC	chr3	3LTR	-	14752635
2669	2669_LNMC	chr3	5LTR	-	20086501
2669	2669_PBMC	chr3	5LTR	+	47061785
